Table 2
Groups of Surveyed Galaxies and ACIS Observations

Group	Galaxies	Number	Exposure	ObsID	Observation	OBSMJD	Exposure	Chips	bkgd^a	Number	
No.		of Obs.	Total (s)		Date		(s)	Used		of Sources	
				391	2000 Nov 20	51868.191	2012	6 7	0.06	11	
	
90	NGC1055	2	6249	386	2000 Jan 29	51572.185	1152	6 7	0.2	4	
				4011	2003 Feb 26	52696.499	5097	6 7	0.1	10	
91	NGC4419	2	6028	4016	2003 Nov 22	52965.032	902	6 7	0.04	2	
				5283	2004 Jan 30	53034.158	5126	6 7	0.2	9	
	
92	NGC672	2	3926	1634	2001 Feb 7	51947.236	1744	6 7	0.06	3	
	IC1727			7090	2006 Sep 30	54008.074	2182	6 7	0.08	3	
	
93	NGC3631	1	90207	3951	2003 Jul 5	52825.035	90207	6 7	3	107	
	
94	NGC5879	1	90124	2241	2001 Jun 10	52070.987	90124	6 7	3	77	
	
95	NGC4217	1	73660	4738	2004 Feb 19	53054.266	73660	6 7	2	57	
	
96	NGC1427A	1	66327	3949	2003 Oct 21	52933.818	66327	6 7	3	42	
	
97	NGC4125	1	65084	2071	2001 Sep 9	52161.293	65084	6 7	2	84	
	NGC4121										
	
98	NGC625	1	61125	4746	2004 Mar 20	53084.583	61125	7	6	28	
	
99	IC1459	1	60166	2196	2001 Aug 12	52133.984	60166	6 7	2	74	
	
100	NGC7715	1	60148	4800	2004 Jan 24	53028.858	60148	6 7	2	50	
	NGC7714										
	
101	NGC3556	1	60124	2025	2001 Sep 8	52160.581	60124	6 7	2	80	
	
102	NGC4631	1	59974	797	2000 Apr 16	51650.705	59974	6 7	2	54	
	NGC4627										
	
103	NGC5775	1	58959	2940	2002 Apr 5	52369.571	58959	6 7	2	90	
	NGC5774										
	
104	NGC3898	1	58175	4740	2005 Feb 10	53411.850	58175	6 7	2	63	
	
105	NGC1705	1	57673	3930	2003 Sep 12	52894.203	57673	6 7	2	51	
	
106	IC5267	1	55673	3947	2003 Aug 13	52864.979	55673	6 7	2	66	
	
107	NGC4552	1	55139	2072	2001 Apr 22	52021.459	55139	6 7	2	154	
	
108	NGC3077	1	54141	2076	2001 Mar 7	51975.785	54141	7	5	34	
	
109	NGC1427	1	51695	4742	2005 May 1	53491.832	51695	6 7	2	78	
	
110	NGC2110	1	50439	883	2000 Apr 22	51656.541	50439	7	3	6	
	
111	NGC2992	1	50179	3956	2003 Feb 16	52686.735	50179	6 7	2	45	
	NGC2993										
	
112	NGC7172	1	50166	905	2000 Jul 2	51727.320	50166	0 1 2 3	1	128	
	NGC7173										
	NGC7174										
	
113	NGC520	1	49961	2924	2003 Jan 29	52668.195	49961	6 7	2	48	
	
114	IC1613	1	49955	5905	2005 Sep 4	53617.992	49955	6 7	2	45	
	
115	NGC4244	1	49846	942	2000 May 20	51684.533	49846	6 7	1	46	
	
116	NGC4945	1	49750	864	2000 Jan 27	51570.792	49750	6 7	5	38	
	
117	NGC7793	1	49564	3954	2003 Sep 6	52888.972	49564	6 7	1	52	
	
118	NGC1407	1	49196	791	2000 Aug 16	51772.332	49196	6 7	2	170	
	
119	NGC5813	1	49038	5907	2005 Apr 2	53462.282	49038	6 7	2	82	
	
120	NGC3310	1	48231	2939	2003 Jan 25	52664.015	48231	6 7	1	42	
	
121	NGC2434	1	47305	2923	2002 Oct 24	52571.808	47305	6 7	3	43	
	
122	NGC1800	1	46742	4062	2003 May 10	52769.914	46742	6 7	2	46	
	PGC16744										
	
123	NGC2300	1	46171	4968	2004 Jun 23	53179.847	46171	6 7	3	64	
	NGC2276										
	
124	NGC4526	1	44106	3925	2003 Nov 14	52957.268	44106	6 7	1	79	
	
125	NGC1808	1	43427	3012	2002 Dec 19	52627.306	43427	6 7	1	71	
	
126	NGC4382	1	40256	2016	2001 May 29	52058.607	40256	6 7	1	96	
	PGC40512										
	
127	NGC1672	1	40156	5932	2006 Apr 30	53855.546	40156	6 7	2	59	
	
128	NGC3377	1	40150	2934	2003 Jan 6	52645.349	40150	6 7	1	51	
	
129	NGC4697	1	39763	784	2000 Jan 15	51558.689	39763	6 7	1	98	
	
130	NGC3507	1	39756	3149	2002 Mar 8	52341.155	39756	6 7	1	52	
	
131	NGC7541	1	39475	7070	2006 Oct 30	54038.687	39475	6 7	2	51	
	NGC7537										
	
132	NGC4457	1	39382	3150	2002 Dec 3	52611.502	39382	6 7	1	67	
	
133	NGC3607	1	39004	2073	2001 Jun 12	52072.050	39004	0 1 2 3	1	134	
	NGC3605										
	NGC3608										
	
134	IC3259	1	38751	4687	2005 Feb 11	53412.544	38751	6 7	1	47	
	IC3256										
	IC3260										
	
135	NGC4649	1	38604	785	2000 Apr 20	51654.149	38604	6 7	1	205	
	NGC4647										
	
136	NGC4321	1	38351	6727	2006 Feb 18	53784.728	38351	6 7	1	75	
	
137	NGC3557	1	37990	3217	2002 Nov 28	52606.209	37990	0 1 2 3	1	109	
	NGC3564										
	
138	NGC3115	1	37452	2040	2001 Jun 14	52074.439	37452	6 7	1	91	
	
139	NGC5347	1	37407	4867	2004 Jun 5	53161.474	37407	6 7	2	32	
	
140	NGC5746	1	37289	3929	2003 Apr 11	52740.588	37289	0 1 2 3	1	119	
	
141	PGC40372	1	36137	5913	2005 Mar 19	53448.278	36137	0 1 2 3	1	55	
	
142	NGC3585	1	35753	2078	2001 Jun 3	52063.436	35753	6 7	1	73	
	
143	NGC4261	1	35184	834	2000 May 6	51670.107	35184	6 7	1	63	
	NGC4264										
	
144	NGC5102	1	34661	2949	2002 May 21	52415.365	34661	6 7	1	48	
	
145	NGC1553	1	34166	783	2000 Jan 2	51545.744	34166	6 7	2	69	
	
146	NGC5170	1	33455	3928	2003 May 18	52777.519	33455	0 1 2 3	0.9	88	
	
147	NGC1199	1	32171	8172	2006 Nov 23	54062.866	32171	6 7	1	39	
	NGC1189										
	NGC1190										
	
148	NGC4698	1	30401	3008	2002 Jun 16	52441.627	30401	6 7	0.9	28	
	
149	NGC1316	1	30233	2022	2001 Apr 17	52016.622	30233	6 7	2	93	
	
150	PGC20551	1	30159	4866	2003 Dec 26	52999.250	30159	6 7	0.8	57	
	
151	NGC7331	1	30131	2198	2001 Jan 27	51936.696	30131	6 7	0.9	66	
	
152	NGC2782	1	29961	3014	2002 May 17	52411.701	29961	6 7	0.9	53	
	
153	NGC4473	1	29958	4688	2005 Feb 26	53427.889	29958	6 7	1	61	
	
154	NGC2865	1	29878	2020	2001 Mar 17	51985.950	29878	6 7	0.9	48	
	
155	NGC1482	1	28556	2932	2002 Feb 5	52310.082	28556	6 7	0.8	27	
	NGC1481										
	
156	NGC6822	1	28485	2925	2002 Nov 4	52582.520	28485	0 1 2 3	1	62	
	
157	NGC4303	1	28377	2149	2001 Aug 7	52128.921	28377	6 7	0.9	58	
	
158	NGC4449	1	26937	2031	2001 Feb 4	51944.744	26937	6 7	0.7	49	
	
159	NGC3079	1	26918	2038	2001 Mar 7	51975.325	26918	6 7	0.8	64	
	
160	NGC4438	1	25404	2883	2002 Jan 29	52303.725	25404	6 7	1	48	
	NGC4435										
	
161	NGC4651	1	25398	2096	2001 Jun 2	52062.633	25398	6 7	0.7	24	
	
162	NGC4621	1	25155	2068	2001 Aug 1	52122.081	25155	6 7	0.8	75	
	
163	NGC6868	1	23770	3191	2002 Nov 1	52579.586	23770	0 1 2 3	0.9	63	
	NGC6870										
	
164	NGC6861	1	23113	3190	2002 Jul 26	52481.739	23113	0 1 2 3	0.9	65	
	
165	NGC3923	1	21379	1563	2001 Jun 14	52074.893	21379	6 7	0.7	59	
	
166	NGC5044	1	20726	798	2000 Mar 19	51622.655	20726	6 7	2	29	
	
167	NGC4388	1	20230	1619	2001 Jun 8	52068.188	20230	6 7	0.9	28	
	
168	NGC3190	1	20064	2760	2002 Mar 14	52347.274	20064	6 7	0.6	40	
	
169	PGC24175	1	20016	2075	2001 Mar 23	51991.203	20016	7	2	24	
	
170	NGC3955	1	19958	2955	2002 Jun 15	52440.778	19958	6 7	0.6	33	
	
171	NGC7320	1	19955	789	2000 Jul 9	51734.732	19955	6 7	0.6	35	
	
172	NGC1386	1	19887	4076	2003 Nov 19	52962.848	19887	6 7	0.7	32	
	
173	NGC3396	1	19734	2042	2001 Apr 28	52027.118	19734	6 7	1	39	
	NGC3395										
	
174	NGC7727	1	19254	2045	2001 Dec 18	52261.093	19254	6 7	0.6	40	
	
175	NGC5832	1	18684	3105	2002 Jan 28	52302.002	18684	7	0.7	1	
	
176	NGC4564	1	18349	4008	2003 Nov 21	52964.811	18349	7	2	14	
	
177	NGC3665	1	18190	3222	2001 Nov 3	52216.552	18190	0 1 2 3	0.5	52	
	
178	NGC6278	1	16682	6789	2005 Nov 18	53692.431	16682	7	0.7	3	
	
179	NGC7743	1	15187	6790	2006 Nov 7	54046.362	15187	7	0.8	3	
	
180	NGC4589	1	15185	6785	2006 Aug 31	53978.834	15185	7	0.7	8	
	
181	NGC4026	1	15184	6782	2006 May 31	53886.304	15184	7	0.7	7	
	
182	NGC5322	1	15179	6787	2006 Aug 20	53967.827	15179	7	0.7	4	
	
183	NGC3945	1	15171	6780	2006 Apr 16	53841.203	15171	7	0.8	3	
	
184	NGC524	1	15144	6778	2006 Aug 29	53976.145	15144	7	1	4	
	
185	NGC474	1	15134	7144	2006 Jul 6	53922.245	15134	6 7	0.6	27	
	
186	NGC4036	1	15130	6783	2006 Jul 24	53940.701	15130	7	0.7	8	
	
187	NGC3414	1	15111	6779	2006 Jun 25	53911.869	15111	7	0.8	6	
	
188	NGC4111	1	15101	1578	2001 Apr 3	52002.025	15101	6 7	0.7	21	
	
189	NGC4233	1	15075	6784	2006 Jul 4	53920.757	15075	7	0.9	2	
	
190	NGC5838	1	15042	6788	2006 Jun 14	53900.492	15042	7	0.8	6	
	
191	NGC3998	1	15003	6781	2006 Jul 1	53917.355	15003	7	1	8	
	
192	NGC1371	1	14998	7277	2006 Feb 19	53785.449	14998	6 7	0.6	31	
	
193	NGC5198	1	14968	6786	2006 Jul 10	53926.026	14968	7	0.7	5	
	
194	NGC4234	1	12220	4184	2003 Jul 28	52848.375	12220	0 1 2 3	0.7	24	
	
195	NGC4691	1	10785	4061	2003 Mar 8	52706.546	10785	7	0.7	9	
	
196	PGC35286	1	10631	871	2000 Jan 7	51550.709	10631	6 7	0.2	6	
	
197	NGC1023	1	10372	4696	2004 Feb 27	53062.768	10372	6 7	0.3	30	
	NGC1023A										
	
198	IC2574	1	10166	792	2000 Jan 7	51550.855	10166	6 7	0.3	21	
	
199	NGC1493	1	10156	7145	2006 Jun 17	53903.113	10156	6 7	0.4	28	
	
200	NGC3982	1	10148	4845	2004 Jan 3	53007.310	10148	7	0.4	5	
	
201	NGC3412	1	10090	4693	2005 Feb 6	53407.397	10090	6 7	0.4	19	
	
202	NGC3521	1	10074	4694	2004 Mar 11	53075.429	10074	6 7	0.4	44	
	
203	NGC4459	1	9961	2927	2002 Jun 2	52427.568	9961	6 7	0.4	20	
	
204	NGC2798	1	9961	8457	2006 Nov 4	54043.256	9961	6 7	0.4	22	
	
205	NGC3245A	1	9756	2926	2002 Jan 29	52303.586	9756	6 7	0.3	22	
	NGC3245										
	
206	NGC5426	1	9740	4847	2004 Mar 26	53090.250	9740	7	0.4	10	
	NGC5427										
	
207	NGC4596	1	9331	2928	2002 Jul 14	52469.041	9331	6 7	0.3	27	
	
208	PGC71926	1	9312	3248	2002 Jul 8	52463.448	9312	0 1 2 3	0.3	30	
	
209	NGC4701	1	9155	7148	2006 Apr 25	53850.980	9155	6 7	0.4	22	
	
210	NGC3640	1	9154	7142	2006 Jan 29	53764.330	9154	6 7	0.3	19	
	NGC3641										
	
211	NGC7457	1	9107	4697	2003 Nov 18	52961.714	9107	6 7	0.3	20	
	
212	NGC3078	1	8179	5902	2005 Feb 2	53403.937	8179	0 1 2 3	0.3	35	
	
213	NGC2552	1	7951	7146	2006 Jun 4	53890.361	7951	6 7	0.3	18	
	
214	NGC5643	1	7943	5636	2004 Dec 26	53365.280	7943	6 7	0.05	12	
	
215	NGC4531	1	6793	2107	2001 Aug 7	52128.817	6793	6 7	0.3	16	
	
216	NGC5068	1	6755	7149	2006 Mar 17	53811.909	6755	6 7	0.3	8	
	
217	NGC4138	1	6130	3994	2003 Mar 16	52714.957	6130	7	0.3	2	
	
218	NGC4762	1	5858	3998	2003 May 17	52776.791	5858	7	0.2	4	
	
219	NGC1073	1	5811	4686	2004 Feb 9	53044.345	5811	6 7	0.2	21	
	
220	NGC3718	1	5415	3993	2003 Feb 8	52678.076	5415	7	0.2	4	
	
221	NGC5585	1	5382	7150	2006 Aug 28	53975.233	5382	6 7	0.2	15	
	
222	IC3019	1	5353	8072	2007 Apr 13	54203.090	5353	6 7	0.2	6	
	
223	NGC4623	1	5350	8062	2007 May 11	54231.369	5350	6 7	0.2	14	
	
224	IC3773	1	5350	8070	2007 Apr 28	54218.197	5350	6 7	0.2	12	
	
225	PGC23324	1	5336	1564	2001 Nov 2	52215.269	5336	6 7	0.1	4	
	
226	NGC988	1	5334	3552	2003 Aug 3	52854.123	5334	6 7	0.1	13	
	
227	NGC4216	1	5273	3996	2004 Aug 5	53222.264	5273	7	0.2	8	
	
228	NGC3125	1	5219	4012	2003 Feb 16	52686.011	5219	6 7	0.2	9	
	
229	NGC4772	1	5194	3999	2003 Feb 14	52684.079	5194	7	0.2	2	
	
230	NGC3065	1	5171	7054	2006 Jun 13	53899.083	5171	6 7	0.2	11	
	NGC3066										
	
231	NGC4612	1	5158	8051	2007 Apr 16	54206.047	5158	6 7	0.2	18	
	
232	NGC4578	1	5158	8048	2007 Apr 28	54218.829	5158	6 7	0.2	15	
	
233	NGC4570	1	5158	8041	2007 Apr 28	54218.969	5158	6 7	0.2	16	
	
234	NGC4464	1	5158	8127	2007 Apr 28	54218.344	5158	6 7	0.3	11	
	
235	IC3647	1	5155	8130	2007 Apr 28	54218.273	5155	6 7	0.2	7	
	
236	NGC4168	1	5136	3995	2003 Jul 31	52851.680	5136	7	0.4	4	
	
237	NGC1012	1	5119	7133	2005 Nov 25	53699.853	5119	6 7	0.2	8	
	
238	NGC7463	1	5059	4025	2003 Jul 29	52849.592	5059	6 7	0.9	6	
	NGC7464										
	NGC7465										
	
239	NGC4754	1	5036	8038	2007 Feb 19	54150.800	5036	6 7	0.4	14	
	
240	NGC4750	1	4995	4020	2003 Aug 27	52878.646	4995	6 7	0.2	18	
	
241	NGC3610	1	4990	7141	2006 Jun 3	53889.109	4990	6 7	0.2	8	
	
242	NGC4102	1	4966	4014	2003 Apr 30	52759.810	4966	6 7	0.2	15	
	
243	NGC5005	1	4963	4021	2003 Aug 19	52870.900	4963	6 7	0.1	17	
	
244	NGC4713	1	4963	4019	2003 Jan 28	52667.035	4963	6 7	0.2	12	
	
245	NGC4654	1	4959	3325	2002 May 3	52397.209	4959	6 7	0.2	16	
	
246	NGC4527	1	4959	4017	2003 Mar 9	52707.966	4959	6 7	0.1	19	
	
247	NGC4340	1	4959	4015	2004 Feb 28	53063.725	4959	6 7	0.2	13	
	NGC4350										
	
248	IC396	1	4931	7134	2005 Nov 29	53703.307	4931	6 7	0.2	7	
	
249	PGC44014	1	4793	7132	2005 Nov 29	53703.689	4793	6 7	0.2	9	
	
250	NGC5678	1	4793	4022	2003 Jul 28	52848.659	4793	6 7	0.1	12	
	
251	NGC3445	1	4755	1686	2001 Jul 5	52095.789	4755	0 1 2 3	0.1	12	
	
252	NGC4343	1	4703	7129	2006 Jul 16	53932.849	4703	6 7	0.2	4	
	
253	NGC5350	1	4550	5903	2005 Apr 10	53470.860	4550	0 1 2 3	0.2	17	
	NGC5353										
	NGC5354										
	NGC5355										
	NGC5358										
	
254	NGC7013	1	4435	7130	2006 Jan 29	53764.822	4435	6 7	0.3	9	
	
255	NGC3495	1	4108	7126	2006 Jul 9	53925.959	4108	6 7	0.2	9	
	
256	NGC14	1	4076	7127	2006 May 14	53869.758	4076	6 7	0.2	10	
	
257	NGC4450	1	3697	3997	2003 Apr 30	52759.936	3697	7	1	3	
	
258	NGC7741	1	3587	7124	2006 Feb 8	53774.429	3587	6 7	0.1	6	
	
259	NGC6690	1	3519	7123	2006 May 23	53878.548	3519	6 7	0.1	10	
	
260	NGC4561	1	3510	7125	2006 Mar 15	53809.122	3510	6 7	0.1	13	
	
261	IC1473	1	3366	7121	2006 Oct 9	54017.091	3366	6 7	0.1	4	
	
262	NGC1036	1	3183	7119	2005 Dec 6	53710.883	3183	6 7	0.1	8	
	
263	NGC4385	1	3180	6877	2006 Jun 25	53911.529	3180	7	0.2	1	
	
264	NGC5949	1	3049	7120	2006 Jun 11	53897.813	3049	6 7	0.1	10	
	
265	NGC4548	1	3027	1620	2001 Mar 24	51992.119	3027	7	0.1	2	
	
266	NGC5033	1	2968	412	2000 Apr 28	51662.596	2968	6 7	0.09	9	
	
267	NGC1507	1	2828	7115	2006 Jul 30	53946.962	2828	6 7	0.1	10	
	
268	NGC4143	1	2772	1617	2001 Mar 26	51994.884	2772	7	0.1	2	
	
269	PGC63552	1	2771	7118	2006 May 28	53883.498	2771	6 7	0.1	6	
	
270	NGC4760	1	2749	5894	2005 Mar 2	53431.254	2749	0 1 2 3	0.1	15	
	
271	NGC949	1	2732	7113	2005 Dec 4	53708.117	2732	6 7	0.1	3	
	
272	NGC1003	1	2703	7116	2005 Nov 23	53697.373	2703	6 7	0.1	6	
	
273	NGC4670	1	2665	7117	2006 Mar 5	53799.220	2665	6 7	0.1	7	
	
274	NGC3600	1	2604	7114	2006 Jan 25	53760.301	2604	6 7	0.09	5	
	
275	NGC2500	1	2601	7112	2005 Dec 18	53722.026	2601	6 7	0.09	9	
	
276	NGC2986	1	2473	5901	2005 Jan 29	53399.539	2473	6 7	0.09	14	
	
277	NGC3227	1	2456	1616	2001 Mar 23	51991.457	2456	7	0.1	3	
	NGC3226										
	
278	NGC4310	1	2444	7109	2006 Apr 8	53833.524	2444	6 7	0.1	9	
	
279	NGC925	1	2271	7104	2005 Nov 23	53697.329	2271	6 7	0.08	10	
	
280	NGC4245	1	2214	7107	2006 Apr 5	53830.906	2214	6 7	0.2	7	
	
281	NGC4062	1	2211	7106	2006 Mar 5	53799.177	2211	6 7	0.1	5	
	
282	NGC959	1	2204	7111	2005 Dec 4	53708.163	2204	6 7	0.08	6	
	
283	NGC7049	1	2176	5895	2005 Jul 9	53560.736	2176	0 1 2 3	0.07	5	
	PGC66526										
	
284	NGC4491	1	2175	7089	2006 Jul 28	53944.385	2175	6 7	0.1	4	
	
285	NGC3169	1	2153	1614	2001 May 2	52031.748	2153	7	0.1	3	
	
286	NGC6500	1	2131	416	2000 Aug 1	51757.238	2131	6 7	0.07	5	
	
287	NGC4550	1	2078	1621	2001 Mar 24	51992.163	2078	7	0.09	3	
	
288	NGC4448	1	2015	7110	2006 Apr 8	53833.567	2015	6 7	0.08	6	
	
289	NGC4204	1	2009	7092	2006 Apr 2	53827.592	2009	6 7	0.08	6	
	
290	NGC4312	1	1961	7083	2005 Nov 7	53681.438	1961	6 7	0.07	7	
	
291	NGC1156	1	1955	7088	2006 Oct 3	54011.476	1955	6 7	0.09	4	
	
292	NGC2541	1	1952	1635	2000 Oct 26	51843.139	1952	6 7	0.07	4	
	
293	NGC7640	1	1951	7101	2006 May 9	53864.699	1951	6 7	0.07	4	
	
294	NGC3593	1	1951	7084	2006 Jun 29	53915.178	1951	6 7	0.08	1	
	
295	NGC3432	1	1951	7091	2006 Jun 25	53911.420	1951	6 7	0.08	3	
	
296	NGC3239	1	1951	7094	2006 May 21	53876.755	1951	6 7	0.09	11	
	
297	NGC2337	1	1951	7096	2006 Oct 22	54030.064	1951	6 7	0.2	3	
	
298	NGC4274	1	1929	7108	2006 Apr 5	53830.946	1929	6 7	0.1	7	
	
299	NGC4826	1	1824	411	2000 Mar 27	51630.699	1824	6 7	0.06	9	
	
300	NGC3486	1	1779	393	1999 Nov 3	51485.270	1779	6 7	0.07	4	
	
301	NGC4203	1	1776	397	1999 Nov 4	51486.521	1776	6 7	0.05	8	
	
302	NGC3627	1	1776	394	1999 Nov 3	51485.381	1776	6 7	0.08	12	
	
303	NGC3489	1	1776	392	1999 Nov 3	51485.346	1776	6 7	0.07	5	
	
304	NGC3675	1	1772	396	1999 Nov 3	51485.230	1772	6 7	0.08	4	
	
305	NGC4414	1	1760	1639	2000 Oct 29	51846.712	1760	6 7	0.05	11	
	
306	NGC4150	1	1760	1638	2000 Oct 29	51846.746	1760	6 7	0.06	10	
	
307	NGC2683	1	1760	1636	2000 Oct 26	51843.308	1760	6 7	0.05	8	
	
308	NGC4625	1	1759	7098	2006 Feb 8	53774.775	1759	6 7	0.07	5	
	
309	NGC4020	1	1759	7093	2006 Apr 8	53833.602	1759	6 7	0.09	1	
	
310	NGC855	1	1756	7095	2006 Oct 3	54011.517	1756	6 7	0.07	2	
	
311	NGC5474	1	1756	7086	2006 Sep 10	53988.417	1756	6 7	0.07	10	
	
312	NGC3985	1	1756	7099	2006 Feb 8	53774.811	1756	6 7	0.07	7	
	
313	NGC3623	1	1756	1637	2000 Nov 3	51851.310	1756	6 7	0.05	8	
	
314	NGC3413	1	1756	7102	2006 Jun 25	53911.461	1756	6 7	0.07	2	
	
315	NGC3344	1	1756	7087	2006 Jan 25	53760.350	1756	6 7	0.07	6	
	
316	NGC5273	1	1753	415	2000 Sep 3	51790.700	1753	6 7	0.04	4	
	
317	NGC4207	1	1753	7100	2006 Jul 28	53944.426	1753	6 7	0.08	2	
	
318	NGC4096	1	1753	7103	2006 Feb 18	53784.689	1753	6 7	0.07	6	
	
319	NGC3274	1	1753	7085	2006 Feb 8	53774.730	1753	6 7	0.06	4	
	
320	NGC4639	1	1463	408	2000 Feb 5	51579.607	1463	6 7	0.04	4	

Note.
a The average background for the on-axis chip in unit of photons per 100 pixels, computed using 0.1-8 keV photons outside three times of the source regions of detected sources.
