Table 2
Groups of Surveyed Galaxies and ACIS Observations

Group	Galaxies	Number	Exposure	ObsID	Observation	OBSMJD	Exposure	Chips	bkgd^a	Number	
No.		of Obs.	Total (s)		Date		(s)	Used		of Sources	
5	NGC5204	13	120019	2028	2001 Jan 9	51918.956	10145	6 7	0.09	6	
				2029	2001 May 2	52031.795	9547	6 7	0.1	4	
				3933	2003 Aug 6	52857.249	48937	6 7	0.4	11	
				3934	2003 Aug 9	52860.400	5015	6 7	0.06	5	
				3935	2003 Aug 11	52862.799	4764	6 7	0.06	3	
				3936	2003 Aug 14	52865.691	4829	6 7	0.05	1	
				3937	2003 Aug 17	52868.326	4906	6 7	0.05	1	
				3938	2003 Aug 19	52870.978	5450	6 7	0.06	3	
				3939	2003 Aug 27	52878.721	5443	6 7	0.06	6	
				3940	2003 Sep 5	52887.675	5125	6 7	0.05	4	
				3941	2003 Sep 14	52896.487	5163	6 7	0.05	2	
				3942	2003 Sep 23	52905.398	5512	6 7	0.09	3	
				3943	2003 Oct 3	52915.980	5183	6 7	0.06	3	
	
6	NGC1399	11	430758	320	1999 Oct 18	51469.567	3510	0 1 2 3	0.6	21	
	NGC1389			624	1999 Dec 15	51527.005	44166	6 7	2	68	
	NGC1396			319	2000 Jan 18	51561.355	56659	6 7	7	182	
	NGC1404			239	2000 Jan 19	51562.028	3644	0 1 2 3	0.2	28	
	PGC13449			2942	2003 Feb 13	52683.001	29619	6 7	1	52	
	PGC13452			4169	2003 May 21	52780.505	45886	0 1 2 3	2	85	
				4171	2003 May 23	52782.618	45545	0 1 2 3	2	63	
				4172	2003 May 26	52785.291	45092	0 1 2 3	3	165	
				4174	2003 May 28	52787.924	46273	0 1 2 3	10	148	
				4175	2003 May 29	52788.480	63728	0 1 2 3	7	61	
				4176	2003 May 31	52790.553	46636	0 1 2 3	3	108	
	
7	NGC5128	10	737657	316	1999 Dec 5	51517.901	36182	0 1 2 3	1	149	
				962	2000 May 17	51681.957	36972	0 1 2 3	1	162	
				2978	2002 Sep 3	52520.114	45182	6 7	3	134	
				3965	2003 Sep 14	52896.573	50173	6 7	3	139	
				7797	2007 Mar 22	54181.376	98170	0 1 2 3	5	257	
				7798	2007 Mar 27	54186.413	92042	0 1 2 3	4	215	
				7799	2007 Mar 30	54189.107	96037	0 1 2 3	4	217	
				7800	2007 Apr 17	54207.626	92045	0 1 2 3	4	264	
				8489	2007 May 8	54228.780	95179	0 1 2 3	4	249	
				8490	2007 May 30	54250.094	95675	0 1 2 3	4	263	
	
8	NGC3034	9	238482	361	1999 Sep 20	51441.474	33680	0 1 2 3	1	88	
				1302	1999 Sep 20	51441.883	15708	0 1 2 3	0.5	68	
				378	1999 Dec 30	51542.078	4169	0 1 2 3	0.1	26	
				379	2000 Mar 11	51614.832	9046	0 1 2 3	0.3	46	
				380	2000 May 7	51671.839	5065	0 1 2 3	0.1	30	
				2933	2002 Jun 18	52443.784	18255	6 7	0.6	47	
				6097	2005 Feb 4	53405.982	58188	7	17	11	
				5644	2005 Aug 17	53599.038	75131	7	20	14	
				6361	2005 Aug 18	53600.664	19240	7	6	34	
	
9	NGC4278	7	478398	398	2000 Apr 20	51654.614	1544	6 7	0.05	5	
	NGC4283			4741	2005 Feb 3	53404.501	37942	6 7	1	104	
				7077	2006 Mar 16	53810.591	111718	6 7	4	169	
				7078	2006 Jul 25	53941.422	52092	6 7	2	102	
				7079	2006 Oct 24	54032.671	106419	6 7	4	143	
				7081	2007 Feb 20	54151.670	112143	6 7	5	156	
				7080	2007 Apr 20	54210.529	56540	6 7	2	115	
	
10	NGC4038	7	425177	315	1999 Dec 1	51513.227	73171	6 7	3	93	
	NGC4039			3040	2001 Dec 29	52272.660	69932	6 7	3	75	
				3043	2002 Apr 18	52382.606	67961	6 7	3	90	
				3042	2002 May 31	52425.460	68140	6 7	2	86	
				3044	2002 Jul 10	52465.029	36963	6 7	1	62	
				3718	2002 Jul 13	52468.614	35164	6 7	1	70	
				3041	2002 Nov 22	52600.592	73846	6 7	2	75	
	
11	NGC4696	7	296801	504	2000 May 22	51686.023	32121	6 7	6	32	
				505	2000 Jun 8	51703.036	10083	6 7	2	16	
				4190	2003 Apr 18	52747.544	34719	6 7	6	25	
				4191	2003 Apr 18	52747.960	34471	6 7	5	21	
				4954	2004 Apr 1	53096.584	90195	6 7	21	43	
				4955	2004 Apr 2	53097.645	45254	6 7	12	30	
				5310	2004 Apr 4	53099.181	49958	6 7	11	33	
	
12	NGC821	7	229737	4408	2002 Nov 26	52604.704	25275	7	5	12	
				4006	2002 Dec 1	52609.055	13684	7	1	12	
				5692	2004 Dec 4	53343.933	27955	6 7	1	38	
				6314	2005 Jun 20	53541.449	40129	6 7	1	41	
				6310	2005 Jun 21	53542.386	32438	6 7	1	32	
				6313	2005 Jun 22	53543.516	50133	6 7	2	51	
				5691	2005 Jun 23	53544.760	40123	6 7	1	37	
	
13	NGC1637	7	214923	763	1999 Nov 1	51483.927	29654	6 7	1	21	
				764	1999 Nov 13	51495.693	26557	6 7	6	21	
				765	1999 Dec 16	51528.704	35772	6 7	1	54	
				766	2000 Feb 7	51581.474	38944	6 7	1	34	
				1968	2000 Oct 30	51847.056	26758	6 7	0.8	40	
				1969	2001 Mar 6	51974.153	27072	6 7	0.8	39	
				1970	2001 Jul 22	52112.849	30166	6 7	1	31	
	
14	NGC1365	7	105373	3554	2002 Dec 24	52632.623	14796	6 7	0.5	41	
				6871	2006 Apr 10	53835.293	13862	6 7	0.4	18	
				6872	2006 Apr 12	53837.522	15164	6 7	0.4	21	
				6873	2006 Apr 14	53839.977	15182	6 7	0.4	23	
				6868	2006 Apr 17	53842.795	15151	6 7	0.4	22	
				6869	2006 Apr 20	53845.417	16124	6 7	0.4	26	
				6870	2006 Apr 23	53848.420	15094	6 7	0.4	28	
	
15	NGC1313	7	70598	2950	2002 Oct 13	52560.838	20156	6 7	0.6	35	
				3550	2002 Nov 9	52587.802	14758	0 1 2 3	0.6	54	
				3551	2003 Oct 2	52914.408	15017	0 1 2 3	0.4	41	
				4747	2003 Nov 17	52960.252	5405	6 7	0.2	9	
				4748	2004 Feb 22	53057.113	5166	6 7	0.2	13	
				4750	2004 Feb 22	53057.184	4759	6 7	0.1	4	
				4749	2004 Mar 10	53074.203	5337	6 7	0.2	5	
	
16	NGC3384	6	351397	1587	2001 Feb 13	51953.064	31923	6 7	0.8	76	
	NGC3379			4692	2004 Oct 19	53297.790	10034	6 7	0.3	22	
				7073	2006 Jan 23	53758.244	85177	6 7	3	103	
				7074	2006 Apr 9	53834.441	69951	6 7	3	89	
				7075	2006 Jul 3	53919.461	84175	6 7	3	104	
				7076	2007 Jan 10	54110.077	70137	6 7	3	89	
	
17	NGC4365	6	198371	2015	2001 Jun 2	52062.939	40953	6 7	1	135	
				5921	2005 Apr 28	53488.662	40033	6 7	2	130	
				5922	2005 May 9	53499.042	40036	6 7	2	109	
				5923	2005 Jun 14	53535.578	40089	6 7	2	110	
				5924	2005 Nov 25	53699.485	27124	6 7	1	96	
				7224	2005 Nov 26	53700.033	10136	6 7	0.4	41	
	
18	NGC2146	6	58801	3131	2002 Aug 30	52516.236	9395	6 7	0.2	26	
				3132	2002 Sep 20	52537.462	9644	6 7	0.3	31	
				3133	2002 Oct 9	52556.226	9958	6 7	1	26	
				3134	2002 Oct 27	52574.141	9699	6 7	0.3	36	
				3135	2002 Nov 16	52594.660	10147	6 7	0.3	35	
				3136	2002 Dec 5	52613.520	9958	6 7	0.3	31	
	
19	NGC2403	5	224010	2014	2001 Apr 17	52016.179	36051	6 7	2	51	
				4627	2004 Aug 9	53226.292	45123	7	2	9	
				4628	2004 Aug 23	53240.414	47119	6 7	2	66	
				4629	2004 Oct 3	53281.675	45142	6 7	2	67	
				4630	2004 Dec 22	53361.634	50575	6 7	2	63	
	
20	NGC6946	5	174787	1043	2001 Sep 7	52159.027	59036	6 7	2	93	
				4404	2002 Nov 25	52603.360	30335	6 7	1	75	
				4631	2004 Oct 22	53300.231	30121	6 7	1	55	
				4632	2004 Nov 6	53315.033	28339	6 7	1	59	
				4633	2004 Dec 3	53342.533	26956	6 7	1	60	
	
21	NGC720	5	140641	492	2000 Oct 12	51829.878	40124	6 7	2	86	
				7372	2006 Aug 6	53953.378	50034	6 7	2	93	
				7062	2006 Oct 9	54017.873	23160	6 7	1	65	
				8449	2006 Oct 12	54020.013	19161	6 7	0.8	63	
				8448	2006 Oct 12	54020.937	8162	6 7	0.4	35	
	
22	NGC3877	5	121579	767	2000 Jan 10	51553.766	19158	6 7	0.7	45	
				768	2000 Mar 7	51610.807	23753	6 7	0.8	45	
				952	2000 Aug 1	51757.286	20025	6 7	0.5	50	
				1971	2001 Jan 14	51923.811	29552	6 7	0.8	52	
				1972	2001 Oct 17	52199.127	29091	6 7	1	49	
	
23	NGC4395	5	112443	402	2000 Apr 17	51651.417	1260	6 7	0.04	8	
				882	2000 Jun 20	51715.128	17187	7	2	17	
				5301	2004 Apr 10	53105.113	29730	7	1	3	
				5302	2004 Apr 11	53106.045	31121	7	2	2	
				5014	2004 Aug 7	53224.672	33145	0 1 2 3	1	70	
	
24	NGC5194	5	92872	414	2000 Jan 23	51566.259	1152	6 7	0.04	12	
	NGC5195			353	2000 Mar 21	51624.717	905	7	0.1	4	
				354	2000 Jun 20	51715.336	15056	6 7	0.4	79	
				1622	2001 Jun 23	52083.783	27152	6 7	0.9	98	
				3932	2003 Aug 7	52858.605	48607	6 7	2	110	
	
25	NGC4636	4	212589	324	1999 Dec 4	51516.992	8503	0 1 2 3	0.7	41	
				323	2000 Jan 26	51569.389	53049	6 7	3	135	
				3926	2003 Feb 14	52684.229	75689	0 1 2 3	3	193	
				4415	2003 Feb 15	52685.122	75348	0 1 2 3	3	192	
	
26	NGC253	4	144008	969	1999 Dec 16	51528.508	14166	6 7	0.5	66	
				790	1999 Dec 27	51539.097	44080	6 7	5	76	
				383	2000 Aug 16	51772.284	2156	6 7	0.07	31	
				3931	2003 Sep 19	52901.536	83606	6 7	3	117	
	
27	NGC4374	4	118677	401	2000 Apr 20	51654.672	1709	6 7	0.07	10	
				803	2000 May 19	51683.334	28841	6 7	1	83	
				5908	2005 May 1	53491.167	46675	6 7	2	83	
				6131	2005 Nov 7	53681.476	41452	6 7	3	86	
	
28	NGC1550	4	110057	3186	2002 Jan 8	52282.733	10115	0 1 2 3	0.4	20	
				3187	2002 Jan 8	52282.862	9774	0 1 2 3	0.5	25	
				5800	2005 Oct 22	53665.629	45132	6 7	2	36	
				5801	2005 Oct 24	53667.763	45036	6 7	4	34	
	
29	NGC3628	4	105496	395	1999 Nov 3	51485.309	1776	6 7	0.07	11	
				2039	2000 Dec 2	51880.263	58704	6 7	2	71	
				2918	2002 Apr 6	52370.281	22252	6 7	0.6	24	
				2919	2002 Jul 4	52459.957	22764	6 7	0.7	29	
	
30	NGC628	4	104269	2057	2001 Jun 19	52079.794	46947	6 7	1	70	
				2058	2001 Oct 19	52201.173	46761	6 7	2	74	
				4753	2003 Nov 20	52963.176	5403	6 7	0.2	12	
				4754	2003 Dec 29	53002.547	5158	6 7	0.1	7	
	
31	PGC50779	4	34645	355	2000 Jan 16	51559.430	1335	6 7	0.06	11	
				365	2000 Mar 14	51617.252	5484	7	0.5	12	
				356	2000 Mar 14	51617.325	23372	6 7	0.8	54	
				2454	2001 May 2	52031.669	4454	6 7	0.1	20	
	
32	NGC5253	3	193967	2032	2001 Jan 13	51922.943	57353	6 7	2	55	
				7153	2005 Dec 12	53716.348	69123	6 7	3	59	
				7154	2006 May 20	53875.156	67491	6 7	3	54	
	
