Table 6
Ultraluminous X-ray Sources in Nearby Galaxies

Group	CXOJ^a	Pos.^b	Source^c	alpha^d	r_25^e	Dis.^f	V/D^g	L_Xmax^h	F_Xavg^i	F/F^j	sigma_max^k	C_max^l	SQH^m	Var/K-S^n	Notes^o	
No.		Err.	Name	(")		(Mpc)		(erg s^-1)	(cgs)							
10	CXOJ120151.329-185224.85	1	NGC4039-X2	0.917	0.61	25.3	7/7	1.44e+40	1.30e-13	2.9^+0.22_-0.2	200.784	1529.929	h7		1EULX	
10	CXOJ120151.598-185231.33	1	NGC4038-X12	0.694	0.40	25.5	7/7	3.43e+39	2.17e-14	5^+1.1_-0.84	50.858	346.872	s7		1ULX ULS	
10	CXOJ120151.598-185231.33	1	NGC4039-X10	0.794	0.52	25.3	7/7	3.38e+39	2.17e-14	5^+1.1_-0.84	50.858	346.872	s7		1ULX ULS	
10	CXOJ120152.090-185133.12	1	NGC4038-X1	0.397	0.25	25.5	7/7	1.65e+40	1.40e-13	11.2^+1.8_-1.4	257.557	2045.557	h7	v:1	1EULX	
10	CXOJ120152.090-185133.12	1	NGC4039-X1	1.606	1.43	25.3	7/7	1.63e+40	1.40e-13	11.2^+1.8_-1.4	257.557	2045.557	h7	v:1	2EULX	
10	CXOJ120152.399-185206.28	1	NGC4038-X9	0.237	0.13	25.5	7/7	4.1e+39	3.28e-14	2^+0.34_-0.28	65.596	430.760	h7	v:1	1ULX	
10	CXOJ120152.399-185206.28	1	NGC4039-X7	1.057	0.90	25.3	7/7	4.04e+39	3.28e-14	2^+0.34_-0.28	65.596	430.760	h7	v:1	1ULX	
10	CXOJ120153.508-185310.50	1	NGC4038-X7	1.283	0.83	25.5	7/7	7.96e+39	9.32e-14	1.2^+0.12_-0.11	69.264	853.375	h7		1ULX	
10	CXOJ120153.508-185310.50	1	NGC4039-X6	0.120	0.15	25.3	7/7	7.83e+39	9.32e-14	1.2^+0.12_-0.11	69.264	853.375	h7		1ULX	
10	CXOJ120154.278-185201.42	1	NGC4038-X10	0.349	0.16	25.5	7/7	3.74e+39	4.08e-14	1.4^+0.26_-0.21	49.481	401.130	h7		1ULX	
10	CXOJ120154.278-185201.42	1	NGC4039-X8	1.080	1.19	25.3	7/7	3.68e+39	4.08e-14	1.4^+0.26_-0.21	49.481	401.130	h7		2ULX	
10	CXOJ120154.353-185209.84	1	NGC4038-X14	0.433	0.24	25.5	7/6	3.15e+39	2.48e-14	310.8^+17_-17	50.155	389.084	h6		1ULX	
10	CXOJ120154.353-185209.84	1	NGC4039-X12	0.942	1.05	25.3	7/6	3.1e+39	2.48e-14	310.8^+17_-17	50.155	389.084	h6		2ULX	
