Table 6
Ultraluminous X-ray Sources in Nearby Galaxies

Group	CXOJ^a	Pos.^b	Source^c	alpha^d	r_25^e	Dis.^f	V/D^g	L_Xmax^h	F_Xavg^i	F/F^j	sigma_max^k	C_max^l	SQH^m	Var/K-S^n	Notes^o	
No.		Err.	Name	(")		(Mpc)		(erg s^-1)	(cgs)							
42	CXOJ121857.854+471607.43	1	NGC4258-X2	2.143	0.36	7.727	2/2	2.21e+39	2.71e-13	1.3^+0.11_-0.1	212.648	826.419	h2		1ULX	
43	CXOJ121021.907+392150.94	1	NGC4151-X4	3.383	1.09	20.3	2/2	2.44e+39	3.56e-14	2.3^+2.7_-0.88	53.186	165.306	d1 h1		2ULX	
43	CXOJ121022.397+392316.91	1	NGC4151-X3	2.366	0.76	20.3	1/1	4.63e+39	9.37e-14	1	99.112	327.443	h1		1ULX	
43	CXOJ121032.086+392416.81	1	NGC4151-X2	0.257	0.08	20.3	3/1	6.13e+39	1.24e-13	1^+0.23_-0.18	18.087	121.844	s1		1ULX ULS	
45	CXOJ123551.720+275604.34	1.01	NGC4559-X1	2.034	0.89	5.8	3/3	6.42e+39	1.25e-12	1.8^+0.14_-0.13	485.357	2279.092	h3		1ULX	
45	CXOJ123558.560+275742.08	1	NGC4559-X2	0.196	0.09	5.8	3/3	3.88e+39	7.05e-13	1.9^+0.14_-0.12	273.006	1349.210	h3		1ULX	
46	CXOJ022231.289+421957.54	1.08	NGC891-X2	0.905	0.13	8.36	2/2	2.39e+39	2.47e-13	1.4^+0.062_-0.06	316.851	2494.514	h2		1ULX	
46	CXOJ022231.390+422024.11	1.18	NGC891-X1	0.508	0.14	8.36	2/2	2.89e+39	3.08e-13	1.3^+0.051_-0.05	407.008	3263.494	h2		1ULX	
47	CXOJ085333.653+511929.57	1.01	NGC2681-X1	0.616	0.34	17.22	2/2	4.13e+39	7.88e-14	2.8^+0.23_-0.21	238.075	1171.382	h2		1ULX	
50	CXOJ041059.426-312450.29	1	PGC14617-X1	0.422	0.56	18.2	2/2	3.77e+39	5.49e-14	6.4^+1.2_-0.96	158.264	576.758	h2		1ULX	
51	CXOJ033658.750-353224.14	1	NGC1387-X1	2.047	1.45	20.32	1/1	6.64e+39	1.34e-13	1	114.533	393.804	h1		2ULX	
53	CXOJ112729.990+565249.55	1	NGC3683-X1	0.308	0.41	28.4	2/2	1.07e+40	6.45e-14	6.2^+1.1_-0.87	101.045	512.194	h2	v:1	1EULX	
53	CXOJ112734.752+565222.73	1	NGC3683-X2	0.496	0.55	28.4	2/2	2.57e+39	2.36e-14	1.3^+0.29_-0.23	34.077	116.850	h2		1ULX	
55	CXOJ005202.731+473307.88	1	NGC278-X1	0.342	0.34	11.8	2/2	4.46e+39	1.43e-13	13.5^+2.6_-2	153.442	928.252	h2		1ULX	
56	CXOJ032614.878-212126.14	1	NGC1332-X2	1.404	1.95	22.91	2/2	5.95e+39	9.28e-14	1^+0.13_-0.11	111.193	599.467	h2		2ULX	
59	CXOJ101623.587-333141.95	1	IC2560-X2	2.360	1.65	39.0	2/2	3.5e+39	1.24e-14	3.4^+1.7_-1.2	12.404	28.967	q1 h1		2ULX	
60	CXOJ123614.592+260052.99	1.03	NGC4565-X4	2.250	0.38	17.46	2/2	2.58e+39	5.77e-14	1.6^+0.59_-0.36	118.613	486.149	h2		1ULX	
60	CXOJ123617.402+255855.42	1	NGC4565-X1	0.737	0.59	17.46	2/2	2.65e+40	6.19e-13	1.4^+0.11_-0.11	432.121	3342.392	h2		1EULX	
60	CXOJ123619.013+260027.00	1	NGC4565-X3	1.412	0.67	17.46	2/2	4.17e+39	8.92e-14	1.8^+0.51_-0.34	187.554	821.331	q1 h1	v:1	1ULX	
60	CXOJ123630.374+261149.81	6.89	IC3582-X1	0.275	1.47	95.0	1/1	1.32e+40	1.22e-14	1	5.158	28.778	q1		2EULX	
64	CXOJ102737.481-435305.86	1	NGC3256-X6	2.812	1.60	37.4	2/2	7.75e+39	3.23e-14	2.5^+0.69_-0.52	46.105	121.104	h2		2ULX	
64	CXOJ102738.146-435432.04	1	NGC3256-X18	2.414	1.36	37.4	2/2	3.02e+39	1.37e-14	1.9^+0.84_-0.55	14.418	52.700	q2		2ULX	
64	CXOJ102749.858-435426.46	1	NGC3256-X15	0.315	0.21	37.4	2/1	3.93e+39	2.34e-14	70.7^+9.8_-9.8	14.844	59.642	h1		1ULX	
64	CXOJ102750.045-435420.70	1	NGC3256-X12	0.262	0.14	37.4	2/1	4.7e+39	2.80e-14	2.2^+0.29_-0.29	11.185	85.089	h1		1ULX	
64	CXOJ102750.561-435420.45	1	NGC3256-X7	0.170	0.09	37.4	2/1	6.08e+39	3.62e-14	2^+0.26_-0.26	11.188	94.416	h1		1ULX	
64	CXOJ102750.657-435411.77	1	NGC3256-X11	0.205	0.14	37.4	2/1	4.75e+39	2.83e-14	1.1^+0.17_-0.17	8.529	72.858	q1		1ULX	
64	CXOJ102750.748-435415.52	1	NGC3256-X8	0.155	0.09	37.4	2/1	5.56e+39	3.31e-14	5.6^+0.79_-0.79	9.853	85.618	h1		1ULX	
64	CXOJ102750.753-435424.01	1	NGC3256-X5	0.150	0.10	37.4	2/1	9.69e+39	5.77e-14	1.3^+0.12_-0.12	16.481	148.542	q1		1ULX	
64	CXOJ102751.029-435404.21	1	NGC3256-X16	0.277	0.24	37.4	2/1	3.27e+39	1.95e-14	3^+0.52_-0.52	8.042	52.791	h1		1ULX	
64	CXOJ102751.230-435419.37	1	NGC3256-X9	0.050	0.03	37.4	2/1	5.09e+39	3.03e-14	2.7^+0.38_-0.38	10.338	78.840	h1		1ULX	
64	CXOJ102751.233-435358.74	1	NGC3256-X14	0.358	0.32	37.4	2/2	4.2e+39	2.38e-14	1.1^+0.39_-0.28	11.291	68.395	h2		1ULX	
64	CXOJ102751.257-435423.47	1	NGC3256-X13	0.072	0.06	37.4	2/1	4.4e+39	2.62e-14	1^+0.35_-0.26	9.938	67.823	h1		1ULX	
64	CXOJ102751.266-435402.99	1	NGC3256-X17	0.287	0.26	37.4	2/1	3.19e+39	1.90e-14	57.6^+11_-11	6.757	51.634	h1		1ULX	
64	CXOJ102751.607-435409.58	1	NGC3256-X3	0.175	0.16	37.4	2/2	1.91e+40	1.14e-13	1^+0.13_-0.12	28.883	346.684	h2		1EULX	
64	CXOJ102751.713-435413.46	1	NGC3256-X2	0.116	0.11	37.4	2/2	2.97e+40	1.52e-13	1.4^+0.17_-0.15	42.577	537.581	h2		1EULX	
64	CXOJ102752.032-435412.28	1	NGC3256-X4	0.160	0.14	37.4	2/1	9.79e+39	5.83e-14	1^+0.21_-0.18	16.562	155.936	h1		1ULX	
64	CXOJ102752.567-435349.96	1	NGC3256-X19	0.537	0.50	37.4	2/2	2.72e+39	1.58e-14	1.1^+0.4_-0.29	12.960	47.358	h2		1ULX	
64	CXOJ102755.150-435446.87	1	NGC3256-X10	0.795	0.49	37.4	2/2	5.05e+39	2.93e-14	1.1^+0.27_-0.21	29.845	92.497	h2		1ULX	
65	CXOJ125053.318+410714.02	1	NGC4736-X1	0.086	0.02	5.20	2/2	2.47e+39	7.20e-13	1.1^+0.097_-0.085	271.786	5502.371	h2		1ULX	
66	CXOJ225724.718-410343.81	1	NGC7424-X2	1.335	0.32	11.5	2/2	7.68e+39	2.59e-13	14.4^+2.1_-1.7	296.084	1433.005	h2		1ULX	
66	CXOJ225728.946-410211.94	1.01	NGC7424-X1	2.840	0.65	11.5	2/2	7.97e+39	4.33e-13	1.4^+0.084_-0.079	321.543	1433.785	h2		1ULX	
68	CXOJ123638.870+131233.91	1	NGC4569-X4	3.889	1.68	16.8	2/2	3.08e+39	8.78e-14	1.1^+0.45_-0.27	70.630	332.956	h2		2ULX	
68	CXOJ123643.414+131512.92	1.15	IC3583-X1	0.315	0.32	16.8	1/1	3.79e+39	1.12e-13	1	7.621	15.642	h1		1ULX	
68	CXOJ123643.414+131512.92	1.15	NGC4569-X2	5.655	1.89	16.8	1/1	3.79e+39	1.12e-13	1	7.621	15.642	h1		2ULX	
68	CXOJ123646.253+130400.37	1	NGC4569-X6	5.869	1.36	16.8	1/1	2.06e+39	6.07e-14	1	30.512	241.797	h1		2ULX	
68	CXOJ123653.690+131153.88	1	NGC4569-X5	2.273	0.48	16.8	2/2	2.07e+39	4.64e-14	1.9^+0.79_-0.66	45.296	142.175	h2		1ULX	
68	CXOJ123709.454+131509.65	1	NGC4569-X3	7.136	1.75	16.8	1/1	3.56e+39	1.05e-13	1	45.140	275.669	q1		2ULX	
69	CXOJ120922.186+295559.70	1.01	NGC4136-X1	0.962	0.51	9.7	2/2	2.56e+39	1.88e-13	1.5^+0.16_-0.14	151.811	501.446	h2	v:1	1ULX	
70	CXOJ123740.296+114727.53	1.14	NGC4579-X2	1.972	0.82	16.8	1/1	1.2e+40	3.54e-13	1	354.230	1700.310	h1		1EULX	
70	CXOJ123743.200+114901.13	1	NGC4579-X3	0.295	0.11	16.8	2/1	2.41e+39	7.12e-14	6.8^+0.42_-0.42	30.550	347.271	h1		1ULX	
73	CXOJ131519.534+420302.23	1	NGC5055-X1	5.605	0.90	8.5	2/2	1.81e+40	1.66e-12	1.7^+0.15_-0.13	202.062	2367.864	h2		1EULX	
73	CXOJ131546.646+420201.10	1	NGC5055-X2	0.499	0.09	8.5	2/2	2.35e+39	1.54e-13	7.3^+1.5_-1.3	41.378	133.711	q1 s1		1ULX ULS	
74	CXOJ092158.663+505612.41	1	NGC2841-X1	2.362	1.03	12.0	2/2	3.01e+39	1.00e-13	6.6^+4.6_-2	105.407	577.676	d1 h1		2ULX	
75	CXOJ123128.570+254457.55	1	NGC4494-X2	1.746	0.82	17.06	2/2	3.77e+39	8.63e-14	1.7^+0.48_-0.42	61.879	191.371	q1 h1		1ULX	
75	CXOJ123129.606+254621.90	1	NGC4494-X3	1.196	0.68	17.06	2/2	3.23e+39	6.65e-14	2.3^+1.3_-0.65	81.212	289.192	q1 h1		1ULX	
78	CXOJ123200.389+142442.37	1	NGC4501-X2	0.608	0.20	16.8	1/1	3.66e+39	1.08e-13	1	51.741	207.668	h1		1ULX	
78	CXOJ123200.934+142502.60	1	NGC4501-X1	0.402	0.12	16.8	1/1	3.93e+39	1.16e-13	1	61.673	222.915	h1		1ULX	
82	CXOJ153427.211+151112.55	1	NGC5953-X3	1.346	2.00	33.0	2/2	4.85e+39	3.32e-14	1.3^+0.7_-0.41	19.397	43.239	h2		2ULX	
82	CXOJ153434.961+151149.27	1	NGC5953-X2	0.629	0.94	33.0	2/2	8.29e+39	6.12e-14	1.1^+0.36_-0.28	27.521	65.814	h2		1ULX	
82	CXOJ153434.961+151149.27	1	NGC5954-X2	0.379	0.61	32.1	2/2	7.84e+39	6.12e-14	1.1^+0.36_-0.28	27.521	65.814	h2		1ULX	
83	CXOJ133810.697-094727.10	1	PGC48179-X1	0.660	0.58	22.7	2/2	3.9e+39	5.23e-14	1.5^+1_-0.65	10.258	20.711	h2		1ULX	
84	CXOJ024619.805-301602.89	1	NGC1097-X2	0.359	0.11	16.8	2/2	6.88e+39	1.97e-13	1.1^+0.19_-0.16	57.275	146.821	h2		1ULX	
84	CXOJ024625.080-301719.03	1	NGC1097-X3	1.648	0.35	16.8	1/1	2.9e+39	8.56e-14	1	27.755	59.446	q1		1ULX	
85	CXOJ141311.954-031232.76	1	NGC5506-X2	0.741	0.63	28.7	1/1	3.65e+39	3.69e-14	1	17.361	40.043	h1		1ULX	
93	CXOJ112054.312+531040.80	1	NGC3631-X1	1.318	0.55	21.6	1/1	2.27e+40	4.06e-13	1	417.368	4124.842	h1		1EULX	
93	CXOJ112105.971+530722.76	1.04	NGC3631-X2	2.945	1.17	21.6	1/1	7.61e+39	1.36e-13	1	271.261	1401.393	h1		2ULX	
93	CXOJ112110.291+531011.96	1	NGC3631-X4	1.140	0.48	21.6	1/1	3.36e+39	6.01e-14	1	116.706	611.757	h1	v:1	1ULX	
93	CXOJ112112.727+531045.55	1	NGC3631-X6	1.576	0.65	21.6	1/1	2.28e+39	4.08e-14	1	70.539	412.279	h1		1ULX	
93	CXOJ112126.741+530749.51	1	NGC3631-X3	4.363	1.79	21.6	1/1	4.15e+39	7.41e-14	1	113.729	667.077	h1		2ULX	
96	CXOJ034012.451-353740.48	1.01	NGC1427A-X1	0.709	0.83	16.9	1/1	5.76e+39	1.68e-13	1	234.046	1221.934	h1		1ULX	
97	CXOJ120807.464+651028.60	1.02	NGC4125-X1	0.113	0.07	23.88	1/1	1.03e+40	1.50e-13	1	128.762	1151.643	h1		1EULX	
97	CXOJ120859.040+651010.20	1	NGC4125-X3	5.446	1.90	23.88	1/1	2.5e+39	3.65e-14	1	40.095	189.808	h1		2ULX	
99	CXOJ225710.867-362744.71	1	IC1459-X2	0.074	0.03	29.24	1/1	3.86e+39	3.76e-14	1	30.376	282.086	h1		1ULX	
99	CXOJ225720.722-362747.45	1	IC1459-X3	2.054	0.98	29.24	1/1	2.55e+39	2.49e-14	1	47.770	184.551	h1		1ULX	
100	CXOJ233610.082+020900.50	1.08	NGC7714-X3	1.188	1.66	36.9	1/1	2.99e+40	1.83e-13	1	226.575	1104.728	h1		2EULX	
100	CXOJ233615.624+020923.44	1.11	NGC7714-X2	0.248	0.34	36.9	1/1	7.96e+40	4.87e-13	1	457.490	2810.301	h1		1EULX	
102	CXOJ124155.565+323216.91	1.09	NGC4627-X1	2.368	1.88	7.2	1/1	2.33e+39	3.74e-13	1	443.801	3284.771	h1		2ULX	
102	CXOJ124155.565+323216.91	1.09	NGC4631-X1	2.564	0.33	6.9	1/1	2.14e+39	3.74e-13	1	443.801	3284.771	h1		1ULX	
103	CXOJ145339.943+033418.41	1	NGC5774-X2	0.977	0.79	26.8	1/1	3.94e+39	4.57e-14	1	51.661	190.525	h1	v:1	1ULX	
103	CXOJ145344.693+033330.17	1	NGC5774-X1	1.475	1.00	26.8	1/1	1.13e+40	1.31e-13	1	151.545	818.388	h1		1EULX	
103	CXOJ145355.243+033228.64	1	NGC5775-X5	0.641	1.23	26.7	1/1	2.02e+39	2.36e-14	1	47.056	156.355	h1		2ULX	
103	CXOJ145355.754+033327.47	1	NGC5775-X4	0.928	0.45	26.7	1/1	3.06e+39	3.58e-14	1	68.399	236.696	h1		1ULX	
103	CXOJ145355.908+033400.19	1.01	NGC5775-X2	1.409	1.00	26.7	1/1	4.21e+39	4.92e-14	1	92.054	324.380	h1		1ULX	
103	CXOJ145358.894+033216.19	1.1	NGC5775-X1	0.496	0.24	26.7	1/1	1.77e+40	2.07e-13	1	257.106	1375.817	h1		1EULX	
103	CXOJ145359.446+033156.68	1.01	NGC5775-X3	0.843	0.41	26.7	1/1	3.86e+39	4.51e-14	1	76.112	299.162	h1		1ULX	
104	CXOJ114911.938+560509.56	1	NGC3898-X2	0.499	0.23	21.9	1/1	2.28e+39	3.96e-14	1	73.351	263.061	h1	v:1	1ULX	
106	CXOJ225726.777-432647.44	1	IC5267-X1	3.893	1.49	21.0	1/1	4.34e+39	8.21e-14	1	92.117	439.527	h1		2ULX	
109	CXOJ034211.995-352209.91	1	NGC1427-X2	2.112	1.57	23.55	1/1	2.16e+39	3.24e-14	1	47.839	182.792	h1		2ULX	
109	CXOJ034218.706-352239.97	1	NGC1427-X1	0.951	0.77	23.55	1/1	2.74e+39	4.11e-14	1	61.023	233.739	h1		1ULX	
111	CXOJ094547.880-142201.52	1	NGC2993-X3	0.167	0.32	30.5	1/1	9.32e+39	8.35e-14	1	60.950	437.569	h1		1ULX	
111	CXOJ094548.185-142206.53	1	NGC2993-X2	0.058	0.12	30.5	1/1	1.19e+40	1.07e-13	1	52.340	559.033	h1		1EULX	
111	CXOJ094550.462-142138.41	1	NGC2993-X4	0.702	1.31	30.5	1/1	7.13e+39	6.39e-14	1	85.520	339.902	h1		2ULX	
112	CXOJ220207.903-315920.80	1	NGC7174-X2	0.297	0.33	35.5	1/1	3.55e+39	2.35e-14	1	18.543	56.549	h1	v:1	1ULX	
112	CXOJ220207.903-315920.80	1	NGC7176-X2	0.184	0.47	32.3	1/1	2.94e+39	2.35e-14	1	18.543	56.549	h1	v:1	1ULX	
112	CXOJ220208.453-315923.35	1	NGC7174-X1	0.387	0.36	35.5	1/1	3.86e+39	2.55e-14	1	18.536	84.923	h1		1ULX	
112	CXOJ220208.453-315923.35	1	NGC7176-X1	0.060	0.15	32.3	1/1	3.19e+39	2.55e-14	1	18.536	84.923	h1		1ULX	
112	CXOJ220244.654-315951.54	2.68	PGC67910-X1	0.526	1.97	30.9	1/1	2.92e+39	2.55e-14	1	12.133	71.117	h1		2ULX	
113	CXOJ012433.502+034748.52	1	NGC520-X2	0.299	0.24	27.8	1/1	7.69e+39	8.29e-14	1	98.323	444.364	h1		1ULX	
113	CXOJ012435.186+034731.16	1.04	NGC520-X1	0.321	0.21	27.8	1/1	1.78e+40	1.92e-13	1	151.036	1083.624	h1		1EULX	
116	CXOJ130521.943-492826.65	1.28	NGC4945-X1	0.719	0.21	5.2	1/1	2.14e+39	6.58e-13	1	233.908	3086.068	h1		1ULX	
117	CXOJ235751.005-323726.72	1	NGC7793-X1	2.070	0.64	3.7	1/1	2.38e+39	1.45e-12	1	564.505	8152.086	h1		1ULX	
118	CXOJ034008.911-183447.89	1	NGC1407-X7	0.830	0.38	28.84	1/1	2.13e+39	2.13e-14	1	24.601	116.727	h1		1ULX	
118	CXOJ034011.642-183456.78	1	NGC1407-X6	0.197	0.09	28.84	1/1	2.49e+39	2.49e-14	1	16.110	145.373	h1		1ULX	
118	CXOJ034012.516-183451.60	1	NGC1407-X5	0.028	0.01	28.84	1/1	2.56e+39	2.56e-14	1	18.618	149.405	h1		1ULX	
118	CXOJ034014.518-183637.80	1	NGC1407-X3	1.833	0.83	28.84	1/1	3.23e+39	3.24e-14	1	48.293	177.583	h1		1ULX	
118	CXOJ034018.264-183601.66	1	NGC1407-X4	1.810	0.85	28.84	1/1	2.65e+39	2.66e-14	1	43.900	153.515	h1		1ULX	
118	CXOJ034027.874-183427.01	1	NGC1407-X2	3.690	1.68	28.84	1/1	3.28e+39	3.29e-14	1	45.493	175.574	h1		2ULX	
119	CXOJ150104.927+014136.02	1	NGC5813-X4	1.656	1.08	32.21	1/1	3.86e+39	3.10e-14	1	31.789	165.941	h1		2ULX	
119	CXOJ150105.592+014330.76	1	NGC5813-X9	1.967	0.96	32.21	1/1	3.04e+39	2.44e-14	1	29.972	131.317	h1		1ULX	
119	CXOJ150109.329+013900.72	1	NGC5813-X8	3.156	1.81	32.21	1/1	3.08e+39	2.47e-14	1	26.373	129.469	h1		2ULX	
119	CXOJ150109.660+013911.63	1	NGC5813-X3	2.965	1.69	32.21	1/1	3.97e+39	3.19e-14	1	46.163	167.656	q1		2ULX	
119	CXOJ150110.877+014142.65	1	NGC5813-X7	0.430	0.25	32.21	1/1	3.27e+39	2.63e-14	1	15.525	142.675	h1		1ULX	
119	CXOJ150111.491+014202.74	1	NGC5813-X5	0.114	0.05	32.21	1/1	3.85e+39	3.09e-14	1	12.686	167.954	q1		1ULX	
119	CXOJ150111.645+014207.42	1	NGC5813-X6	0.111	0.07	32.21	1/1	3.64e+39	2.92e-14	1	11.988	158.793	q1		1ULX	
119	CXOJ150116.555+014133.97	1	NGC5813-X1	1.453	0.78	32.21	1/1	1.9e+40	1.53e-13	1	126.464	820.621	h1		1EULX	
119	CXOJ150118.418+013836.82	1.19	NGC5814-X2	0.809	1.85	141.1	1/1	3.34e+40	1.40e-14	1	13.396	72.971	h1		2EULX	
119	CXOJ150123.210+013824.04	1.51	NGC5814-X3	0.541	1.81	141.1	1/1	2.32e+40	9.73e-15	1	9.337	49.368	h1		2EULX	
120	CXOJ103843.308+533101.67	1.01	NGC3310-X3	0.986	0.67	18.7	1/1	7.64e+39	1.82e-13	1	209.470	1056.402	h1		1ULX	
120	CXOJ103844.477+533004.75	1.01	NGC3310-X10	0.247	0.20	18.7	1/1	2.6e+39	6.20e-14	1	41.013	361.635	h1		1ULX	
120	CXOJ103844.621+533007.63	1.01	NGC3310-X9	0.220	0.18	18.7	1/1	2.61e+39	6.21e-14	1	35.210	351.869	h1	v:1	1ULX	
120	CXOJ103844.818+533003.74	1.03	NGC3310-X4	0.203	0.17	18.7	1/1	7.05e+39	1.68e-13	1	65.525	977.880	h1		1ULX	
120	CXOJ103845.996+533004.46	1.05	NGC3310-X2	0.061	0.04	18.7	1/1	9.82e+39	2.34e-13	1	92.808	1362.564	h1		1ULX	
120	CXOJ103846.574+533038.09	1	NGC3310-X8	0.506	0.33	18.7	1/1	2.61e+39	6.21e-14	1	55.636	347.272	h1		1ULX	
120	CXOJ103846.690+533013.39	1.02	NGC3310-X6	0.126	0.09	18.7	1/1	5.29e+39	1.26e-13	1	54.913	738.008	h1		1ULX	
120	CXOJ103847.268+533027.86	1.02	NGC3310-X5	0.374	0.26	18.7	1/1	6.71e+39	1.60e-13	1	110.264	926.017	h1		1ULX	
120	CXOJ103850.208+532925.55	1.05	NGC3310-X7	0.935	0.68	18.7	1/1	5.25e+39	1.25e-13	1	158.417	726.874	h1		1ULX	
123	CXOJ072524.881+854418.46	1	NGC2276-X4	2.245	1.63	36.8	1/1	7.15e+39	4.40e-14	1	58.203	200.752	s1		2ULX ULS	
123	CXOJ072559.786+854356.42	1	NGC2276-X6	1.941	1.39	36.8	1/1	2.8e+39	1.72e-14	1	27.148	79.089	h1		2ULX	
123	CXOJ072637.476+854534.49	1.02	NGC2276-X1	0.693	0.51	36.8	1/1	1.54e+40	9.50e-14	1	96.130	437.164	h1		1EULX	
123	CXOJ072647.856+854552.34	1	NGC2276-X3	0.707	0.52	36.8	1/1	7.44e+39	4.58e-14	1	48.162	210.402	h1		1ULX	
123	CXOJ072648.168+854554.86	1.01	NGC2276-X2	0.736	0.54	36.8	1/1	1.32e+40	8.13e-14	1	74.286	373.524	h1		1EULX	
123	CXOJ072648.250+854549.10	1	NGC2276-X5	0.662	0.49	36.8	1/1	4.19e+39	2.58e-14	1	26.664	118.808	h1		1ULX	
123	CXOJ072725.769+854525.78	1	NGC2276-X8	0.262	0.19	36.8	1/1	2.47e+39	1.52e-14	1	19.412	69.967	q1		1ULX	
123	CXOJ072921.310+854502.84	1	NGC2276-X7	2.400	1.77	36.8	1/1	2.47e+39	1.52e-14	1	18.451	44.723	h1		2ULX	
123	CXOJ072921.958+854541.62	1	NGC2276-X9	2.419	1.77	36.8	1/1	2.19e+39	1.35e-14	1	5.070	10.572	h1		2ULX	
124	CXOJ123409.581+074223.04	1.01	NGC4526-X2	1.695	0.90	16.90	1/1	2.15e+39	6.26e-14	1	89.069	310.566	h1		1ULX	
125	CXOJ050742.182-373045.94	1.03	NGC1808-X2	0.149	0.05	10.8	1/1	2.84e+39	2.03e-13	1	82.833	1026.078	h1		1ULX	
126	CXOJ122517.172+181346.52	1	NGC4382-X1	2.933	0.92	18.45	1/1	5.23e+39	1.28e-13	1	112.906	492.450	h1		1ULX	
127	CXOJ044531.608-591454.64	1.07	NGC1672-X2	1.354	0.49	14.5	1/1	5.25e+39	2.08e-13	1	210.485	991.000	h1		1ULX	
127	CXOJ044533.977-591441.96	1.04	NGC1672-X3	1.081	0.38	14.5	1/1	4.31e+39	1.71e-13	1	175.357	817.347	h1		1ULX	
127	CXOJ044542.082-591452.01	1	NGC1672-X4	0.085	0.03	14.5	1/1	2.62e+39	1.04e-13	1	51.189	500.652	h1		1ULX	
127	CXOJ044552.836-591456.11	1.12	NGC1672-X1	1.360	0.49	14.5	1/1	7.17e+39	2.84e-13	1	264.144	1360.522	h1		1ULX	
131	CXOJ231442.209+043140.12	1	NGC7541-X1	0.455	0.72	33.4	1/1	7.32e+39	5.47e-14	1	60.808	232.754	h1		1ULX	
131	CXOJ231442.389+043230.98	1	NGC7541-X2	0.484	0.68	33.4	1/1	3.76e+39	2.81e-14	1	37.879	119.147	h1		1ULX	
133	CXOJ111702.966+180101.45	1.28	NGC3607-X1	3.029	1.37	22.80	1/1	2.15e+39	3.45e-14	1	20.665	72.467	h1		2ULX	
135	CXOJ124336.502+113009.18	1	NGC4649-X2	2.964	0.98	16.83	1/1	1.16e+40	3.42e-13	1	128.536	452.401	h1		1EULX	
135	CXOJ124408.916+113333.08	1	NGC4649-X3	7.033	1.95	16.83	1/1	6.08e+39	1.79e-13	1	50.898	604.461	h1		2ULX	
136	CXOJ122254.775+154916.14	1.02	NGC4321-X1	0.154	0.04	14.13	1/1	2.18e+39	9.08e-14	1	50.800	410.588	h1	v:1	1ULX	
137	CXOJ110947.179-373032.54	1.49	NGC3557-X6	2.687	1.80	45.71	1/1	3.96e+39	1.58e-14	1	9.996	29.818	h1		2ULX	
137	CXOJ110947.760-373154.34	1.35	NGC3557-X11	1.968	1.30	45.71	1/1	2.73e+39	1.09e-14	1	6.052	13.311	h1		2ULX	
137	CXOJ110952.709-373545.42	1.22	NGC3557-X9	3.601	1.82	45.71	1/1	2.93e+39	1.17e-14	1	9.426	25.015	h1		2ULX	
137	CXOJ110954.170-373604.72	1	NGC3557-X2	3.852	1.99	45.71	1/1	1.45e+40	5.80e-14	1	38.734	123.914	h1		2EULX	
137	CXOJ110956.162-373404.22	1.02	NGC3557-X14	1.806	0.94	45.71	1/1	2.05e+39	8.18e-15	1	8.034	18.161	h1		1ULX	
137	CXOJ110956.928-373455.31	1.04	NGC3557-X13	2.641	1.41	45.71	1/1	2.16e+39	8.62e-15	1	7.119	16.873	h1		2ULX	
137	CXOJ110957.744-372917.20	1.23	NGC3557-X5	2.998	1.62	45.71	1/1	4.44e+39	1.77e-14	1	12.104	37.387	h1		2ULX	
137	CXOJ110959.047-373531.49	1.04	NGC3557-X12	3.256	1.82	45.71	1/1	2.19e+39	8.74e-15	1	9.013	19.417	h1		2ULX	
137	CXOJ110959.616-373028.44	1.03	NGC3557-X4	1.857	0.94	45.71	1/1	5.94e+39	2.37e-14	1	20.461	52.325	h1		1ULX	
137	CXOJ110959.971-373047.99	1	NGC3557-X3	1.563	0.78	45.71	1/1	1.37e+40	5.47e-14	1	44.052	121.647	h1		1EULX	
137	CXOJ111000.876-373354.32	1	NGC3557-X8	1.754	1.08	45.71	1/1	3.18e+39	1.27e-14	1	12.449	28.985	h1		2ULX	
137	CXOJ111006.900-373209.06	1	NGC3557-X10	1.868	1.16	45.71	1/1	2.81e+39	1.12e-14	1	11.545	24.492	h1		2ULX	
137	CXOJ111011.057-372932.24	1.06	NGC3557-X7	3.843	1.94	45.71	1/1	3.71e+39	1.48e-14	1	11.291	24.402	h1		2ULX	
143	CXOJ121911.645+054728.68	1	NGC4261-X2	3.493	1.90	31.62	1/1	4.2e+39	3.50e-14	1	40.619	117.196	h1	v:1	2ULX	
143	CXOJ121923.530+054935.98	1	NGC4261-X3	0.181	0.10	31.62	1/1	2.4e+39	2.00e-14	1	10.860	99.352	h1		1ULX	
145	CXOJ041602.712-554656.17	1	NGC1553-X2	1.084	0.73	18.54	1/1	2.11e+39	5.12e-14	1	44.782	242.297	h1		1ULX	
146	CXOJ132935.736-175542.67	1	NGC5170-X1	3.887	0.95	33.7	1/1	2.9e+40	2.13e-13	1	119.581	474.920	h1		1EULX	
146	CXOJ132941.734-175651.86	1	NGC5170-X3	2.059	0.57	33.7	1/1	1.94e+40	1.42e-13	1	120.848	351.119	h1		1EULX	
146	CXOJ132948.850-175640.02	1	NGC5170-X5	1.317	2.03	33.7	1/1	2.41e+39	1.77e-14	1	17.068	35.574	h1		2ULX	
146	CXOJ132953.606-175916.37	1	NGC5170-X4	1.692	0.83	33.7	1/1	4.59e+39	3.37e-14	1	25.885	59.103	q1		1ULX	
146	CXOJ132956.916-175903.12	1	NGC5170-X2	2.165	0.75	33.7	1/1	2.06e+40	1.51e-13	1	101.323	280.619	h1		1EULX	
